n=1, kappa=1.0, np_kappa=1.0, diff=0.0
n=2, kappa=27.00000000000001, np_kappa=27.00000000000001, diff=0.0
n=3, kappa=748.0000000000027, np_kappa=748.0000000000027, diff=0.0
n=4, kappa=28375.00000000183, np_kappa=28375.00000000183, diff=0.0
n=5, kappa=943656.0000063396, np_kappa=943656.0000063396, diff=0.0
n=6, kappa=29070279.003768865, np_kappa=29070279.003768865, diff=0.0
n=7, kappa=985194889.5765331, np_kappa=985194889.5765331, diff=0.0
n=8, kappa=33872792384.49069, np_kappa=33872792384.49069, diff=0.0
n=9, kappa=1099651993126.399, np_kappa=1099651993126.3992, diff=-0.000244140625
n=10, kappa=35356843615851.68, np_kappa=35356843615851.68, diff=0.0
n=11, kappa=1234535520109080.0, np_kappa=1234535520109080.0, diff=0.0
n=12, kappa=4.25590901716144e+16, np_kappa=4.25590901716144e+16, diff=0.0
n=13, kappa=7.759900158883494e+17, np_kappa=7.759900158883494e+17, diff=0.0
n=14, kappa=9.835692477471382e+17, np_kappa=9.835692477471382e+17, diff=0.0
n=15, kappa=1.22141357619596e+18, np_kappa=1.22141357619596e+18, diff=0.0
n=16, kappa=8.446669887055664e+18, np_kappa=8.446669887055666e+18, diff=-2048.0
n=17, kappa=2.951709493726908e+18, np_kappa=2.951709493726908e+18, diff=0.0
n=18, kappa=7.034587093532324e+18, np_kappa=7.034587093532324e+18, diff=0.0
n=19, kappa=1.7956910313213469e+19, np_kappa=1.7956910313213469e+19, diff=0.0
n=20, kappa=3.409669720793668e+19, np_kappa=3.409669720793668e+19, diff=0.0
n=21, kappa=6.718811079722762e+18, np_kappa=6.718811079722762e+18, diff=0.0
n=22, kappa=3.4843650507448463e+19, np_kappa=3.4843650507448463e+19, diff=0.0
n=23, kappa=1.0797696561675837e+19, np_kappa=1.0797696561675837e+19, diff=0.0
n=24, kappa=1.1127237227898405e+19, np_kappa=1.4503624654791428e+19, diff=-3.376387426893023e+18
n=25, kappa=1.2434465323523107e+19, np_kappa=1.2434465323523105e+19, diff=2048.0
n=26, kappa=1.132794505112992e+19, np_kappa=1.1327945051129915e+19, diff=4096.0
n=27, kappa=1.5165124249989904e+19, np_kappa=1.5165124249989906e+19, diff=-2048.0
n=28, kappa=7.854235999893281e+19, np_kappa=7.85423599989328e+19, diff=16384.0
n=29, kappa=6.372060127807194e+18, np_kappa=8.914269972852375e+18, diff=-2.5422098450451804e+18
n=30, kappa=6.45016300066404e+18, np_kappa=1.0110668184667085e+19, diff=-3.6605051840030444e+18
MSE of kappa differences: 1.0420707051613031e+36
MSE of relative kappa differences: 0.008886662014956224
