n=5, kappa=4.0, approx_acc=9.911330441627514e-16, real_acc=5.260723082365317e-16
n=6, kappa=5.0, approx_acc=1.4845346409891352e-15, real_acc=2.718079393295641e-16
n=7, kappa=6.0, approx_acc=1.1472625782475812e-15, real_acc=2.427981214173732e-16
n=8, kappa=7.0, approx_acc=8.570303966826264e-16, real_acc=5.020519334300114e-16
n=9, kappa=8.0, approx_acc=2.066952249435102e-14, real_acc=5.8639110087632484e-15
n=10, kappa=9.0, approx_acc=2.858780565060356e-14, real_acc=5.748386678104338e-15
n=11, kappa=10.0, approx_acc=5.092317772375504e-16, real_acc=2.359185389941625e-16
n=12, kappa=11.0, approx_acc=4.8671157299530665e-14, real_acc=1.5198232336406376e-14
n=13, kappa=12.0, approx_acc=6.887018698885866e-13, real_acc=1.8681199302782218e-13
n=14, kappa=13.0, approx_acc=3.908436488724073e-13, real_acc=1.6150509139401668e-13
n=15, kappa=14.0, approx_acc=1.9333452938769718e-12, real_acc=3.371063796437438e-13
n=16, kappa=15.0, approx_acc=2.8472832824367574e-12, real_acc=6.6908662896486e-13
n=17, kappa=16.0, approx_acc=3.2203563338944305e-12, real_acc=4.509447837471799e-13
n=18, kappa=17.0, approx_acc=1.4558259115351793e-11, real_acc=3.971826123571161e-12
n=19, kappa=18.0, approx_acc=2.5563038750906346e-11, real_acc=4.8876300517808955e-12
n=20, kappa=19.0, approx_acc=2.606504203662314e-12, real_acc=8.23404406445342e-13
n=21, kappa=20.0, approx_acc=1.6710987731392187e-10, real_acc=3.21076031260012e-11
n=22, kappa=21.0, approx_acc=2.639385549825802e-10, real_acc=5.04922432117081e-11
n=23, kappa=22.0, approx_acc=4.868407835733097e-10, real_acc=1.276645148130118e-10
n=24, kappa=23.0, approx_acc=7.661745072058711e-10, real_acc=1.754867262736437e-10
n=25, kappa=24.0, approx_acc=1.3386044034243196e-09, real_acc=5.66632950123979e-10
n=26, kappa=25.0, approx_acc=1.0058277792995026e-09, real_acc=2.437991173937829e-10
n=27, kappa=26.0, approx_acc=1.0212189743875202e-08, real_acc=2.2314711466517444e-09
n=28, kappa=27.0, approx_acc=9.055075196961372e-09, real_acc=3.1841897529256756e-09
n=29, kappa=28.0, approx_acc=1.5232900305454218e-08, real_acc=2.521909357599655e-09
n=30, kappa=29.0, approx_acc=4.468495840483239e-08, real_acc=2.0465931253937934e-08
MSE of accuracy differences: 3.261571624712356e-17
